,target,petal_len,petal_wid,sepal_len,sepal_wid
0,0,1.4,0.2,5.1,3.5
1,0,1.4,0.2,4.9,3.0
2,0,1.3,0.2,4.7,3.2
3,0,1.5,0.2,4.6,3.1
4,0,1.4,0.2,5.0,3.6
5,0,1.7,0.4,5.4,3.9
6,0,1.4,0.3,4.6,3.4
7,0,1.5,0.2,5.0,3.4
8,0,1.4,0.2,4.4,2.9
9,0,1.5,0.1,4.9,3.1
10,0,1.5,0.2,5.4,3.7
11,0,1.6,0.2,4.8,3.4
12,0,1.4,0.1,4.8,3.0
13,0,1.1,0.1,4.3,3.0
14,0,1.2,0.2,5.8,4.0
15,0,1.5,0.4,5.7,4.4
16,0,1.3,0.4,5.4,3.9
17,0,1.4,0.3,5.1,3.5
18,0,1.7,0.3,5.7,3.8
19,0,1.5,0.3,5.1,3.8
20,0,1.7,0.2,5.4,3.4
21,0,1.5,0.4,5.1,3.7
22,0,1.0,0.2,4.6,3.6
23,0,1.7,0.5,5.1,3.3
24,0,1.9,0.2,4.8,3.4
25,0,1.6,0.2,5.0,3.0
26,0,1.6,0.4,5.0,3.4
27,0,1.5,0.2,5.2,3.5
28,0,1.4,0.2,5.2,3.4
29,0,1.6,0.2,4.7,3.2
30,0,1.6,0.2,4.8,3.1
31,0,1.5,0.4,5.4,3.4
32,0,1.5,0.1,5.2,4.1
33,0,1.4,0.2,5.5,4.2
34,0,1.5,0.2,4.9,3.1
35,0,1.2,0.2,5.0,3.2
36,0,1.3,0.2,5.5,3.5
37,0,1.4,0.1,4.9,3.6
38,0,1.3,0.2,4.4,3.0
39,0,1.5,0.2,5.1,3.4
40,0,1.3,0.3,5.0,3.5
41,0,1.3,0.3,4.5,2.3
42,0,1.3,0.2,4.4,3.2
43,0,1.6,0.6,5.0,3.5
44,0,1.9,0.4,5.1,3.8
45,0,1.4,0.3,4.8,3.0
46,0,1.6,0.2,5.1,3.8
47,0,1.4,0.2,4.6,3.2
48,0,1.5,0.2,5.3,3.7
49,0,1.4,0.2,5.0,3.3
50,1,4.7,1.4,7.0,3.2
51,1,4.5,1.5,6.4,3.2
52,1,4.9,1.5,6.9,3.1
53,1,4.0,1.3,5.5,2.3
54,1,4.6,1.5,6.5,2.8
55,1,4.5,1.3,5.7,2.8
56,1,4.7,1.6,6.3,3.3
57,1,3.3,1.0,4.9,2.4
58,1,4.6,1.3,6.6,2.9
59,1,3.9,1.4,5.2,2.7
60,1,3.5,1.0,5.0,2.0
61,1,4.2,1.5,5.9,3.0
62,1,4.0,1.0,6.0,2.2
63,1,4.7,1.4,6.1,2.9
64,1,3.6,1.3,5.6,2.9
65,1,4.4,1.4,6.7,3.1
66,1,4.5,1.5,5.6,3.0
67,1,4.1,1.0,5.8,2.7
68,1,4.5,1.5,6.2,2.2
69,1,3.9,1.1,5.6,2.5
70,1,4.8,1.8,5.9,3.2
71,1,4.0,1.3,6.1,2.8
72,1,4.9,1.5,6.3,2.5
73,1,4.7,1.2,6.1,2.8
74,1,4.3,1.3,6.4,2.9
75,1,4.4,1.4,6.6,3.0
76,1,4.8,1.4,6.8,2.8
77,1,5.0,1.7,6.7,3.0
78,1,4.5,1.5,6.0,2.9
79,1,3.5,1.0,5.7,2.6
80,1,3.8,1.1,5.5,2.4
81,1,3.7,1.0,5.5,2.4
82,1,3.9,1.2,5.8,2.7
83,1,5.1,1.6,6.0,2.7
84,1,4.5,1.5,5.4,3.0
85,1,4.5,1.6,6.0,3.4
86,1,4.7,1.5,6.7,3.1
87,1,4.4,1.3,6.3,2.3
88,1,4.1,1.3,5.6,3.0
89,1,4.0,1.3,5.5,2.5
90,1,4.4,1.2,5.5,2.6
91,1,4.6,1.4,6.1,3.0
92,1,4.0,1.2,5.8,2.6
93,1,3.3,1.0,5.0,2.3
94,1,4.2,1.3,5.6,2.7
95,1,4.2,1.2,5.7,3.0
96,1,4.2,1.3,5.7,2.9
97,1,4.3,1.3,6.2,2.9
98,1,3.0,1.1,5.1,2.5
99,1,4.1,1.3,5.7,2.8
100,2,6.0,2.5,6.3,3.3
101,2,5.1,1.9,5.8,2.7
102,2,5.9,2.1,7.1,3.0
103,2,5.6,1.8,6.3,2.9
104,2,5.8,2.2,6.5,3.0
105,2,6.6,2.1,7.6,3.0
106,2,4.5,1.7,4.9,2.5
107,2,6.3,1.8,7.3,2.9
108,2,5.8,1.8,6.7,2.5
109,2,6.1,2.5,7.2,3.6
110,2,5.1,2.0,6.5,3.2
111,2,5.3,1.9,6.4,2.7
112,2,5.5,2.1,6.8,3.0
113,2,5.0,2.0,5.7,2.5
114,2,5.1,2.4,5.8,2.8
115,2,5.3,2.3,6.4,3.2
116,2,5.5,1.8,6.5,3.0
117,2,6.7,2.2,7.7,3.8
118,2,6.9,2.3,7.7,2.6
119,2,5.0,1.5,6.0,2.2
120,2,5.7,2.3,6.9,3.2
121,2,4.9,2.0,5.6,2.8
122,2,6.7,2.0,7.7,2.8
123,2,4.9,1.8,6.3,2.7
124,2,5.7,2.1,6.7,3.3
125,2,6.0,1.8,7.2,3.2
126,2,4.8,1.8,6.2,2.8
127,2,4.9,1.8,6.1,3.0
128,2,5.6,2.1,6.4,2.8
129,2,5.8,1.6,7.2,3.0
130,2,6.1,1.9,7.4,2.8
131,2,6.4,2.0,7.9,3.8
132,2,5.6,2.2,6.4,2.8
133,2,5.1,1.5,6.3,2.8
134,2,5.6,1.4,6.1,2.6
135,2,6.1,2.3,7.7,3.0
136,2,5.6,2.4,6.3,3.4
137,2,5.5,1.8,6.4,3.1
138,2,4.8,1.8,6.0,3.0
139,2,5.4,2.1,6.9,3.1
140,2,5.6,2.4,6.7,3.1
141,2,5.1,2.3,6.9,3.1
142,2,5.1,1.9,5.8,2.7
143,2,5.9,2.3,6.8,3.2
144,2,5.7,2.5,6.7,3.3
145,2,5.2,2.3,6.7,3.0
146,2,5.0,1.9,6.3,2.5
147,2,5.2,2.0,6.5,3.0
148,2,5.4,2.3,6.2,3.4
149,2,5.1,1.8,5.9,3.0
